json_path,json_name,json_subtitle,status,method,notes,csv_line,id,uziti,zalm,verse,lekcionar,strana,doba,prilezitost,cyklus,odpoved,kb
data/json/o_svatych/o_vychovatelich.json,O vychovatelích,,matched,json-alternative,Spárováno podle alternatives v JSONu.,1201,Ps034_16,ID_1200,Žl 34(33),2-3.4-5.6-7.8-9.10-11,KB,76,g-Společné,O svatých KB,,11,76
data/json/o_svatych/o_vychovatelich.json,O vychovatelích,,matched,json-alternative,Spárováno podle alternatives v JSONu.,1202,Ps034_17,ID_1201,Žl 34(33),2-3.4-5.6-7.8-9.10-11,KB,76,g-Společné,O svatých KB,,49,76
data/json/o_svatych/o_vychovatelich.json,O vychovatelích,,matched,json-alternative,Spárováno podle alternatives v JSONu.,1203,Ps034_15,ID_1202,Žl 34(33),2-3.4-5.6-7.8-9.10-11,KB,77,g-Společné,O svatých KB,,25,77
data/json/o_svatych/o_vychovatelich.json,O vychovatelích,,matched,json-alternative,Spárováno podle alternatives v JSONu.,1204,Ps103_09,ID_1203,Žl 103(102),1-2.3-4.8-9.13-14.17-18a,KB,200,g-Společné,O svatých KB,,31,200
data/json/o_svatych/o_vychovatelich.json,O vychovatelích,,matched,json-alternative,Spárováno podle alternatives v JSONu.,1205,Ps103_23,ID_1204,Žl 103(102),1-2.3-4.8-9.13-14.17-18a,KB,200,g-Společné,O svatých KB,,17,200
data/json/o_svatych/o_vychovatelich.json,O vychovatelích,,matched,json-alternative,Spárováno podle alternatives v JSONu.,1206,Ps112_03,ID_1205,Žl 112(111),1-2.3-4.5-6.7-8.9,KB,220,g-Společné,O svatých KB,,11,220
data/json/o_svatych/o_vychovatelich.json,O vychovatelích,,matched,json-alternative,Spárováno podle alternatives v JSONu.,1207,Ps112_05,ID_1206,Žl 112(111),1-2.3-4.5-6.7-8.9,KB,221,g-Společné,O svatých KB,,11,221
data/json/o_svatych/o_vychovatelich.json,O vychovatelích,,matched,json-alternative,Spárováno podle alternatives v JSONu.,1208,Ps128_01,ID_1207,Žl 128(127),1-2.3.4-5,KB,266,g-Společné,O svatých KB,,11,266
data/json/o_svatych/o_vychovatelich.json,O vychovatelích,,matched,json-alternative,Spárováno podle alternatives v JSONu.,1209,Ps131_01,ID_1208,Žl 131(130),01.02.2003,KB,271,g-Společné,O svatých KB,,59,271
data/json/o_svatych/vyroci_posveceni_kostela.json,Výročí posvěcení kostela,,matched,manual,,1065,Ps084_02,ID_1064,Žl 84(83),3.4.5+10.11,5,20,g-Společné,Při výročí posvěcení kostela - 1,,1,155
data/json/o_svatych/vyroci_posveceni_kostela.json,Výročí posvěcení kostela,,matched,manual,,1066,1Kron29_01,ID_1065,1 Kron 29,10bc.11abc.11d-12a.12bcd,5,21,g-Společné,Při výročí posvěcení kostela - 2,,72,307
data/json/o_svatych/vyroci_posveceni_kostela.json,Výročí posvěcení kostela,,matched,manual,,1067,Ps084_05,ID_1066,Žl 84(83),3.4.5+10.11,5,23,g-Společné,Při výročí posvěcení kostela - 3,,48,156
data/json/o_svatych/vyroci_posveceni_kostela.json,Výročí posvěcení kostela,,matched,manual,,1068,1Kron29_01,ID_1067,1 Kron 29,10bc.11abc.11d-12a.12bcd,5,24,g-Společné,Při výročí posvěcení kostela - 4,,72,307
data/json/o_svatych/vyroci_posveceni_kostela.json,Výročí posvěcení kostela,,matched,manual,,1069,Ps046_01,ID_1068,Žl 46(45),2-3.5-6.8-9,5,25,g-Společné,Při výročí posvěcení kostela - 5,,1,104
data/json/o_svatych/vyroci_posveceni_kostela.json,Výročí posvěcení kostela,,matched,manual,,1070,Ps095_04,ID_1069,Žl 95(94),1-2.3-5.6-7,5,27,g-Společné,Při výročí posvěcení kostela v době velikonoční – 1,,55,
data/json/o_svatych/vyroci_posveceni_kostela.json,Výročí posvěcení kostela,,matched,manual,,1071,Ps084_05,ID_1070,Žl 84(83),3.4.5+10.11,5,28,g-Společné,Při výročí posvěcení kostela v době velikonoční - 2,,48,156
data/json/o_svatych/vyroci_posveceni_kostela.json,Výročí posvěcení kostela,,matched,manual,,1072,Ps122_03,ID_1071,Žl 122(121),1-2.3-4.8-9,5,30,g-Společné,Při výročí posvěcení kostela v době velikonoční - 3,,1,256
data/json/o_svatych/vyroci_posveceni_kostela.json,Výročí posvěcení kostela,,matched,manual,,1073,Ps046_01,ID_1072,Žl 46(45),2-3.5-6.8-9,KB,104,g-Společné,Výroční den posvěcení kostela KB,,1,104
data/json/o_svatych/vyroci_posveceni_kostela.json,Výročí posvěcení kostela,,matched,manual,,1074,Ps084_02,ID_1073,Žl 84(83),3.4.5+10.11,KB,155,g-Společné,Výroční den posvěcení kostela KB,,1,155
data/json/o_svatych/vyroci_posveceni_kostela.json,Výročí posvěcení kostela,,matched,manual,,1075,Ps084_03,ID_1074,Žl 84(83),3.4.5+10.11,KB,155,g-Společné,Výroční den posvěcení kostela KB,,39,155
data/json/o_svatych/vyroci_posveceni_kostela.json,Výročí posvěcení kostela,,matched,manual,,1076,Ps084_04,ID_1075,Žl 84(83),3.4.5+10.11,KB,156,g-Společné,Výroční den posvěcení kostela KB,,39,156
data/json/o_svatych/vyroci_posveceni_kostela.json,Výročí posvěcení kostela,,matched,manual,,1077,Ps084_05,ID_1076,Žl 84(83),3.4.5+10.11,KB,156,g-Společné,Výroční den posvěcení kostela KB,,48,156
data/json/o_svatych/vyroci_posveceni_kostela.json,Výročí posvěcení kostela,,matched,manual,,1078,Ps084_06,ID_1077,Žl 84(83),3.4.5+10.11,KB,157,g-Společné,Výroční den posvěcení kostela KB,,48,157
data/json/o_svatych/vyroci_posveceni_kostela.json,Výročí posvěcení kostela,,matched,manual,,1079,Ps084_07,ID_1078,Žl 84(83),3.4.5+10.11,KB,157,g-Společné,Výroční den posvěcení kostela KB,,60,157
data/json/o_svatych/vyroci_posveceni_kostela.json,Výročí posvěcení kostela,,matched,manual,,1080,Ps095_05,ID_1079,Žl 95(94),1-2.3-5.6-7,KB,177,g-Společné,Výroční den posvěcení kostela KB,,39,177
data/json/o_svatych/vyroci_posveceni_kostela.json,Výročí posvěcení kostela,,matched,manual,,1081,Ps095_06,ID_1080,Žl 95(94),1-2.3-5.6-7,KB,177,g-Společné,Výroční den posvěcení kostela KB,,60,177
data/json/o_svatych/vyroci_posveceni_kostela.json,Výročí posvěcení kostela,,matched,manual,,1082,Ps122_03,ID_1081,Žl 122(121),1-2.3-4.8-9,KB,256,g-Společné,Výroční den posvěcení kostela KB,,1,256
data/json/o_svatych/vyroci_posveceni_kostela.json,Výročí posvěcení kostela,,matched,manual,,1083,Ps122_04,ID_1082,Žl 122(121),1-2.3-4.8-9,KB,256,g-Společné,Výroční den posvěcení kostela KB,,38,256
data/json/o_svatych/vyroci_posveceni_kostela.json,Výročí posvěcení kostela,,matched,manual,,1084,1Kron29_01,ID_1083,1 Kron 29,10bc.11abc.11d-12a.12bcd,KB,307,g-Společné,Výroční den posvěcení kostela KB,,72,307
data/json/pust/popelecni_streda.json,Popeleční středa,,matched,exact-fixed,,88,Ps051_10,ID_0087,Žl 51(50),3-4.5-6a.12-13.14+17,2,113,c-Postní,Popeleční středa,,16,115
